instance	sprint_first_rank	sprint_first_raw
setA-01	929383	0.929383
setA-02	903074	0.903074
setA-03	943543	0.943543
setA-04	581237	0.581237
setA-05	204985	0.204985
setA-06	98591	0.098591
setA-07	907989	0.907989
setA-08	318903	0.318903
setA-09	849650	0.84965
setA-10	71739	0.071739
setA-11	785788	0.785788
setA-12	879872	0.879872
setA-13	41025	0.041025
setA-14	517621	0.517621
setA-15	898695	0.898695
setA-16	44262	0.044262
setA-17	424192	0.424192
setA-18	999998	0.999998
setA-19	46838	0.046838
setA-20	991312	0.991312
